time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-03 00:00:00+00:00,221,104,82,19
2025-06-04 00:00:00+00:00,719,68,18,13
2025-06-05 00:00:00+00:00,632,107,100,34
2025-06-06 00:00:00+00:00,488,31,30,23
2025-06-07 00:00:00+00:00,1000,119,14,11
2025-06-08 00:00:00+00:00,116,10,32,6
2025-06-09 00:00:00+00:00,230,72,51,23
2025-06-10 00:00:00+00:00,253,32,117,33
2025-06-11 00:00:00+00:00,199,37,86,27
2025-06-12 00:00:00+00:00,158,78,49,27
2025-06-13 00:00:00+00:00,173,49,31,16
2025-06-14 00:00:00+00:00,121,93,26,21
2025-06-15 00:00:00+00:00,27,16,16,7
2025-06-16 00:00:00+00:00,145,46,30,17
