time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-08 00:00:00+00:00,578,8,22,18
2025-01-09 00:00:00+00:00,603,10,39,21
2025-01-10 00:00:00+00:00,720,11,32,20
2025-01-11 00:00:00+00:00,68,5,15,12
2025-01-12 00:00:00+00:00,16,4,17,9
2025-01-13 00:00:00+00:00,79,9,73,29
2025-01-14 00:00:00+00:00,46,8,69,32
2025-01-15 00:00:00+00:00,182,12,82,32
2025-01-16 00:00:00+00:00,415,10,65,29
2025-01-17 00:00:00+00:00,186,9,34,20
2025-01-18 00:00:00+00:00,19,4,2,1
2025-01-19 00:00:00+00:00,84,6,6,4
2025-01-20 00:00:00+00:00,71,9,56,22
2025-01-21 00:00:00+00:00,733,7,31,23
