url_path,views_total,views_unique
/open-feature/spec,282,229
/open-feature/spec/tree/main/specification,75,26
/open-feature/spec/commits/main,32,2
/open-feature/spec/blob/main/specification/sections/01-flag-evaluation.md,28,11
/open-feature/spec/tree/github-repo-stats/open-feature/spec,26,6
/open-feature/spec/blob/main/specification/types.md,23,8
/open-feature/spec/pulls,22,10
/open-feature/spec/tree/main/specification/sections,21,9
/open-feature/spec/blob/main/specification/sections/04-hooks.md,20,6
/open-feature/spec/blob/main/specification/sections/02-providers.md,18,6
