url_path,views_total,views_unique
/open-feature/spec,198,164
/open-feature/spec/tree/main/specification,43,18
/open-feature/spec/tree/main/tools,26,10
/open-feature/spec/issues/265,24,7
/open-feature/spec/blob/main/specification/sections/02-providers.md,19,6
/open-feature/spec/blob/main/specification/appendix-b-gherkin-suites.md,14,3
/open-feature/spec/blob/main/specification/sections/01-flag-evaluation.md,12,5
/open-feature/spec/tree/main/specification/sections,12,4
/open-feature/spec/issues,11,6
/open-feature/spec/blob/main/specification/sections/04-hooks.md,11,3
