time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-26 00:00:00+00:00,258,19,65,24
2025-08-27 00:00:00+00:00,116,23,43,23
2025-08-28 00:00:00+00:00,95,32,61,29
2025-08-29 00:00:00+00:00,81,16,30,16
2025-08-30 00:00:00+00:00,15,9,21,13
2025-08-31 00:00:00+00:00,62,37,4,4
2025-09-01 00:00:00+00:00,166,45,26,24
2025-09-02 00:00:00+00:00,100,34,62,24
2025-09-03 00:00:00+00:00,61,28,21,17
2025-09-04 00:00:00+00:00,208,48,18,14
2025-09-05 00:00:00+00:00,424,17,34,12
2025-09-06 00:00:00+00:00,29,11,8,7
2025-09-07 00:00:00+00:00,59,21,20,10
2025-09-08 00:00:00+00:00,95,36,20,15
