time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-16 00:00:00+00:00,59,15,50,19
2024-05-17 00:00:00+00:00,171,27,108,31
2024-05-18 00:00:00+00:00,14,8,29,9
2024-05-19 00:00:00+00:00,22,8,10,6
2024-05-20 00:00:00+00:00,39,10,24,20
2024-05-21 00:00:00+00:00,48,11,53,17
2024-05-22 00:00:00+00:00,79,13,31,26
2024-05-23 00:00:00+00:00,209,16,30,20
2024-05-24 00:00:00+00:00,85,11,76,21
2024-05-25 00:00:00+00:00,89,16,15,12
2024-05-26 00:00:00+00:00,36,10,38,12
2024-05-27 00:00:00+00:00,121,18,58,32
2024-05-28 00:00:00+00:00,90,15,94,30
2024-05-29 00:00:00+00:00,80,7,43,28
