url_path,views_total,views_unique
/open-feature/spec,193,154
/open-feature/spec/commit/cd99c3560a68c1810971be19b87ea803fb9b0b3a,45,13
/open-feature/spec/tree/main/specification,26,19
/open-feature/spec/issues/276,17,7
/open-feature/spec/pulls,16,9
/open-feature/spec/blob/main/specification/sections/02-providers.md,12,9
/open-feature/spec/issues,11,9
/open-feature/spec/blob/main/specification/glossary.md,11,8
/open-feature/spec/tree/main/tools,10,9
/open-feature/spec/blob/main/specification/appendix-a-included-utilities.md,10,7
