time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-04 00:00:00+00:00,417,181,34,19
2026-05-05 00:00:00+00:00,320,150,54,30
2026-05-06 00:00:00+00:00,300,155,14,12
2026-05-07 00:00:00+00:00,288,127,53,29
2026-05-08 00:00:00+00:00,298,74,17,10
2026-05-09 00:00:00+00:00,250,99,4,4
2026-05-10 00:00:00+00:00,458,127,16,10
2026-05-11 00:00:00+00:00,580,155,69,20
2026-05-12 00:00:00+00:00,500,168,36,16
2026-05-13 00:00:00+00:00,418,130,30,22
2026-05-14 00:00:00+00:00,132,82,16,13
2026-05-15 00:00:00+00:00,385,117,18,15
2026-05-16 00:00:00+00:00,625,128,20,19
2026-05-17 00:00:00+00:00,511,152,32,18
