time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-03 00:00:00+00:00,346,75,48,17
2025-02-04 00:00:00+00:00,576,91,45,20
2025-02-05 00:00:00+00:00,227,162,47,27
2025-02-06 00:00:00+00:00,338,84,41,15
2025-02-07 00:00:00+00:00,999,95,67,23
2025-02-08 00:00:00+00:00,203,85,9,9
2025-02-09 00:00:00+00:00,51,40,10,8
2025-02-10 00:00:00+00:00,487,74,101,23
2025-02-11 00:00:00+00:00,479,143,77,28
2025-02-12 00:00:00+00:00,267,125,53,26
2025-02-13 00:00:00+00:00,697,74,35,18
2025-02-14 00:00:00+00:00,83,38,27,17
2025-02-15 00:00:00+00:00,61,32,14,9
2025-02-16 00:00:00+00:00,43,4,3,3
