time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-05 00:00:00+00:00,202,6,107,31
2024-09-06 00:00:00+00:00,149,4,44,17
2024-09-07 00:00:00+00:00,16,7,29,6
2024-09-08 00:00:00+00:00,11,4,26,12
2024-09-09 00:00:00+00:00,71,5,26,16
2024-09-10 00:00:00+00:00,108,4,57,28
2024-09-11 00:00:00+00:00,83,5,71,18
2024-09-12 00:00:00+00:00,34,3,57,22
2024-09-13 00:00:00+00:00,22,6,62,30
2024-09-14 00:00:00+00:00,12,4,13,9
2024-09-15 00:00:00+00:00,5,3,5,5
2024-09-16 00:00:00+00:00,111,7,73,21
2024-09-17 00:00:00+00:00,127,6,33,15
2024-09-18 00:00:00+00:00,108,4,25,14
