url_path,views_total,views_unique
/open-feature/spec,213,181
/open-feature/spec/tree/main/specification,16,13
/open-feature/spec/pull/278,15,3
/open-feature/spec/blob/main/specification/sections/02-providers.md,11,10
/open-feature/spec/releases/tag/v0.8.0,11,10
/open-feature/spec/pulls,11,6
/open-feature/spec/commit/cd99c3560a68c1810971be19b87ea803fb9b0b3a,9,6
/open-feature/spec/tree/main/specification/sections,8,6
/open-feature/spec/blob/main/specification/sections/01-flag-evaluation.md,7,7
/open-feature/spec/issues,7,7
