time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-23 00:00:00+00:00,50,8,21,11
2024-03-24 00:00:00+00:00,26,8,17,12
2024-03-25 00:00:00+00:00,607,8,135,27
2024-03-26 00:00:00+00:00,186,12,41,22
2024-03-27 00:00:00+00:00,212,28,106,38
2024-03-28 00:00:00+00:00,152,42,97,23
2024-03-29 00:00:00+00:00,149,11,41,17
2024-03-30 00:00:00+00:00,69,11,29,10
2024-03-31 00:00:00+00:00,17,9,14,7
2024-04-01 00:00:00+00:00,453,88,33,17
2024-04-02 00:00:00+00:00,194,24,56,32
2024-04-03 00:00:00+00:00,299,12,49,28
2024-04-04 00:00:00+00:00,512,18,61,28
2024-04-05 00:00:00+00:00,481,17,32,17
