time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-11 00:00:00+00:00,409,189,43,20
2025-12-12 00:00:00+00:00,230,34,39,17
2025-12-13 00:00:00+00:00,289,29,16,13
2025-12-14 00:00:00+00:00,258,158,213,7
2025-12-15 00:00:00+00:00,221,140,40,24
2025-12-16 00:00:00+00:00,436,161,25,20
2025-12-17 00:00:00+00:00,498,156,29,18
2025-12-18 00:00:00+00:00,370,124,58,23
2025-12-19 00:00:00+00:00,142,53,35,28
2025-12-20 00:00:00+00:00,130,20,17,11
2025-12-21 00:00:00+00:00,119,95,23,16
2025-12-22 00:00:00+00:00,361,184,26,19
2025-12-23 00:00:00+00:00,156,94,48,26
2025-12-24 00:00:00+00:00,206,61,24,17
